n_neighbours | r_squared_statistic
30 | 0.0723284
29 | 0.0721623
28 | 0.0720065
27 | 0.0718596
26 | 0.0717203
25 | 0.0715873
24 | 0.0714589
23 | 0.0713336
22 | 0.0712094
21 | 0.0710837
20 | 0.0709535
19 | 0.0708148
18 | 0.0706626
17 | 0.0704906
16 | 0.0702911
15 | 0.0700547
14 | 0.0697704
13 | 0.0694258
12 | 0.0690069
11 | 0.0684997
10 | 0.0678913
9 | 0.0671731
8 | 0.0663444
7 | 0.0654118
6 | 0.0643770
5 | 0.0632048
4 | 0.0617706
3 | 0.0597622
2 | 0.0563894
1 | 0.0496832
