date, heat_units, T_min, T_max, T_24hour_avg, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, cc0, original_unit_system
2017-01-01, 14.45, 16.3, 32.6, 24.9958, 0, 0, 5.3, 3.87, 3.85, 1.9, 7.7, 179.46, 500, 10.46, 5.51, 16.24, 117.26, Electronic Probe, 133.5, 179.46, 20, 106.8, 5.4, 0.50, si
2017-01-02, 10.3, 14.8, 25.8, 22.2583, 0, 0, 5.3, 3.87, 2.81, 1.9, 5.61, 53.57, 500, 29.27, 15.41, -2.57, 136.07, Electronic Probe, 133.5, 233.03, 20, 106.8, 5.83, 0.50, si
2017-01-03, 9.35, 12.5, 26.2, 19.2625, 0, 0, 5.3, 3.87, 3.47, 1.9, 6.93, -10.35, 500, 24.54, 12.92, 2.16, 131.34, Electronic Probe, 133.5, 222.68, 20, 106.8, 5.89, 0.50, si
2017-01-04, 12.75, 14.7, 30.8, 22.6958, 0, 0, 2.7, 1.87, 3.71, 1.9, 7.42, 0.41, 500, 24.8, 13.05, 1.9, 131.6, Electronic Probe, 133.5, 223.09, 20, 106.8, 6.1, 0.50, si
2017-01-05, 13.4, 17.9, 28.9, 23.7167, 0, 0, 2.7, 1.87, 3.23, 1.9, 6.45, -18.12, 500, 16.51, 8.69, 10.19, 123.31, Electronic Probe, 133.5, 204.97, 20, 106.8, 6.04, 0.50, si
2017-01-06, 11.0, 15.3, 26.7, 20.9792, 0, 0, 2.7, 1.87, 3.08, 1.9, 6.16, 14.34, 500, 24.13, 12.70, 2.57, 130.93, Electronic Probe, 133.5, 219.3, 20, 106.8, 6.01, 0.50, si
2017-01-07, 12.35, 16.3, 28.4, 22.1042, 0, 0, 0, 0, 3.4, 1.9, 6.8, -13.33, 500, 17.78, 9.36, 8.92, 124.58, Electronic Probe, 133.5, 205.98, 20, 106.8, 5.63, 0.50, si
2017-01-08, 12.9, 15.7, 30.1, 22.8792, 0, 0, 0, 0, 3.7, 1.9, 7.4, -21.69, 500, 4.34, 2.28, 22.36, 111.14, Electronic Probe, 133.5, 184.28, 20, 106.8, 5.49, 0.50, si
2017-01-09, 13.15, 17.0, 29.3, 23.1417, 0, 0, 2.7, 1.87, 3.69, 21.69, 7.37, -5.55, 500, 5.42, 0.25, 21.28, 112.22, Electronic Probe, 133.5, 178.73, 20, 106.8, 4.94, 0.50, si
2017-01-10, 14.1, 17.3, 30.9, 22.3417, 27.6, 11.3, 2.7, 1.87, 3.89, 13.62, 7.77, 4.56, 500, 10.41, 0.76, 16.29, 117.21, Electronic Probe, 133.5, 183.29, 20, 106.8, 4.87, 0.50, si
2017-01-11, 11.4, 15.7, 27.1, 21.3542, 0, 0, 0, 0, 3.34, 13.62, 6.68, -16.14, 500, -0.33, -0.02, 27.03, 106.47, Electronic Probe, 133.5, 167.15, 20, 106.8, 5.11, 0.50, si
2017-01-12, 8.6, 14.0, 23.2, 17.9292, 0, 0, 2.7, 1.87, 3.01, 13.62, 6.01, 2.16, 500, 4.52, 0.33, 22.18, 111.32, Electronic Probe, 133.5, 169.31, 20, 106.8, 5.75, 0.50, si
2017-01-13, 9.25, 12.9, 25.6, 18.9542, 0, 0, 8, 5.87, 2.9, 5.55, 5.8, -15.05, 500, -8.39, -1.51, 35.09, 98.41, Electronic Probe, 133.5, 154.26, 20, 106.8, 6.42, 0.50, si
2017-01-14, 9.8, 13.4, 26.2, 19.8, 0, 0, 2.7, 1.87, 3.16, 5.55, 6.31, 26.7, 500, 8.7, 1.57, 18, 115.5, Electronic Probe, 133.5, 180.96, 20, 106.8, 6.41, 0.50, si
2017-01-15, 9.65, 14.0, 25.3, 19.0083, 0, 0, 2.7, 1.87, 2.78, 5.55, 5.56, -8.08, 500, 4.78, 0.86, 21.92, 111.58, Electronic Probe, 133.5, 172.89, 20, 106.8, 6.42, 0.50, si
