datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (305 mm)], m3 [S4 (400 mm)], m4 [S5 (600 mm)], m5 [S6 (800 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (305 mm)], t3 [T4 (400 mm)], t4 [T5 (600 mm)], t5 [T6 (800 mm)]
2017-08-01 00:00:00, 81.91, 77.42, 77.27, 89.96, 83, 75.32, 81.12, 8.83, 8.67, 8.67, 8.5, 8.5, 8.67
2017-08-01 00:30:00, 81.91, 77.42, 77.27, 89.96, 83, 75.47, 81.12, 8.83, 8.67, 8.67, 8.5, 8.5, 8.67
2017-08-01 01:00:00, 81.91, 77.42, 77.27, 89.96, 83, 75.32, 81.12, 8.83, 8.67, 8.67, 8.5, 8.5, 8.67
2017-08-01 01:30:00, 81.91, 77.42, 77.27, 89.96, 83, 75.32, 81.12, 8.83, 8.67, 8.67, 8.5, 8.5, 8.67
2017-08-01 02:00:00, 81.92, 77.39, 77.27, 90.04, 83, 75.32, 81.12, 8.83, 8.67, 8.67, 8.5, 8.5, 8.67
2017-08-01 02:30:00, 81.93, 77.42, 77.27, 90.04, 83, 75.47, 81.12, 8.67, 8.67, 8.67, 8.5, 8.5, 8.67
2017-08-01 03:00:00, 81.9, 77.39, 77.27, 90.04, 82.89, 75.32, 81.12, 8.67, 8.67, 8.67, 8.67, 8.5, 8.67
2017-08-01 03:30:00, 81.85, 77.39, 77.21, 90.04, 82.77, 75.32, 81.12, 8.67, 8.67, 8.67, 8.67, 8.5, 8.67
2017-08-01 04:00:00, 81.88, 77.39, 77.21, 90.04, 82.89, 75.32, 81.12, 8.67, 8.67, 8.67, 8.67, 8.5, 8.67
2017-08-01 04:30:00, 81.84, 77.39, 77.21, 89.87, 82.89, 75.32, 81.12, 8.67, 8.67, 8.83, 8.67, 8.5, 8.67
2017-08-01 05:00:00, 81.84, 77.39, 77.21, 89.87, 82.89, 75.32, 81.12, 8.67, 8.67, 8.83, 8.67, 8.5, 8.67
2017-08-01 05:30:00, 81.84, 77.39, 77.21, 89.87, 82.89, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.5, 8.67
2017-08-01 06:00:00, 81.8, 77.35, 77.21, 89.87, 82.77, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.67
2017-08-01 06:30:00, 81.81, 77.35, 77.13, 89.87, 82.89, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.67
2017-08-01 07:00:00, 81.78, 77.35, 77.13, 89.87, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.67
2017-08-01 07:30:00, 81.78, 77.35, 77.13, 89.87, 82.77, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.67
2017-08-01 08:30:00, 81.78, 77.35, 77.13, 89.87, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 09:00:00, 81.75, 77.32, 77.13, 89.79, 82.77, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 09:30:00, 81.77, 77.32, 77.13, 89.87, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 10:00:00, 81.75, 77.29, 77.07, 89.87, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 10:30:00, 81.73, 77.29, 77.07, 89.79, 82.77, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 11:00:00, 81.76, 77.32, 77.07, 89.87, 82.77, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 11:30:00, 81.76, 77.32, 77.07, 89.87, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 12:00:00, 81.76, 77.32, 77.07, 89.87, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 12:30:00, 81.73, 77.29, 77.07, 89.79, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 13:00:00, 81.72, 77.32, 76.99, 89.79, 82.77, 75.32, 80.97, 8.5, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 13:30:00, 81.71, 77.29, 76.99, 89.79, 82.77, 75.32, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 14:00:00, 81.71, 77.32, 77.07, 89.79, 82.66, 75.15, 80.97, 8.5, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 14:30:00, 81.72, 77.32, 76.99, 89.79, 82.77, 75.32, 80.97, 8.5, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 15:00:00, 81.74, 77.32, 76.99, 89.87, 82.77, 75.15, 80.97, 8.5, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 15:30:00, 81.7, 77.29, 77.07, 89.79, 82.66, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 16:00:00, 81.69, 77.29, 76.93, 89.79, 82.77, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 16:30:00, 81.71, 77.29, 76.99, 89.79, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 17:00:00, 81.71, 77.29, 76.99, 89.79, 82.77, 75.32, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 17:30:00, 81.67, 77.25, 76.99, 89.79, 82.66, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 18:00:00, 81.67, 77.29, 76.93, 89.79, 82.66, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 18:30:00, 81.71, 77.29, 76.99, 89.79, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 19:00:00, 81.71, 77.29, 76.99, 89.79, 82.77, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 19:30:00, 81.68, 77.29, 76.99, 89.79, 82.66, 75.32, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 20:00:00, 81.67, 77.29, 76.93, 89.79, 82.66, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 20:30:00, 81.66, 77.25, 76.93, 89.79, 82.66, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 21:00:00, 81.65, 77.29, 76.93, 89.71, 82.66, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 21:30:00, 81.64, 77.25, 76.85, 89.79, 82.66, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 22:00:00, 81.65, 77.29, 76.93, 89.71, 82.66, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 22:30:00, 81.64, 77.25, 76.85, 89.79, 82.66, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 23:00:00, 81.62, 77.25, 76.85, 89.71, 82.66, 75.32, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-01 23:30:00, 81.62, 77.25, 76.85, 89.71, 82.66, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-02 00:00:00, 81.64, 77.25, 76.93, 89.71, 82.66, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-02 00:30:00, 81.64, 77.25, 76.85, 89.79, 82.66, 75.15, 80.97, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-02 01:00:00, 81.59, 77.25, 76.85, 89.71, 82.54, 75.15, 81.12, 8.67, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-02 01:30:00, 81.6, 77.25, 76.79, 89.71, 82.66, 75.15, 80.97, 8.5, 8.67, 8.83, 8.67, 8.67, 8.83
2017-08-02 02:00:00, 81.61, 77.25, 76.85, 89.79, 82.54, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.67, 8.83
2017-08-02 02:30:00, 81.57, 77.25, 76.79, 89.79, 82.43, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.67, 8.83
2017-08-02 03:00:00, 81.56, 77.25, 76.85, 89.71, 82.43, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.67, 8.83
2017-08-02 03:30:00, 81.59, 77.25, 76.79, 89.79, 82.54, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.67, 8.83
2017-08-02 04:00:00, 81.65, 77.29, 76.85, 89.79, 82.66, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.67, 8.83
2017-08-02 04:30:00, 81.64, 77.25, 76.85, 89.79, 82.66, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.67, 8.83
2017-08-02 05:00:00, 81.65, 77.29, 76.79, 89.87, 82.66, 74.84, 80.97, 8.5, 8.67, 8.83, 8.83, 8.83, 8.83
2017-08-02 05:30:00, 81.69, 77.29, 76.85, 89.87, 82.77, 74.84, 80.97, 8.5, 8.67, 8.83, 8.83, 8.83, 8.83
2017-08-02 06:00:00, 81.73, 77.32, 76.85, 89.87, 82.89, 74.84, 80.82, 8.5, 8.67, 8.83, 8.83, 8.83, 8.83
2017-08-02 06:30:00, 81.72, 77.32, 76.79, 89.87, 82.89, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.83, 8.83
2017-08-02 07:00:00, 81.74, 77.32, 76.79, 89.87, 83, 75.15, 80.97, 8.5, 8.67, 8.83, 8.83, 8.83, 8.83
2017-08-02 07:30:00, 81.83, 77.35, 76.85, 89.87, 83.24, 75.15, 80.82, 8.5, 8.67, 8.83, 8.83, 8.83, 8.83
2017-08-02 08:00:00, 81.92, 77.39, 76.85, 89.96, 83.47, 79.73, 84.03, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 08:30:00, 81.92, 77.42, 76.85, 89.96, 83.47, 78.46, 83.28, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 09:00:00, 81.96, 77.45, 76.85, 89.96, 83.57, 77.98, 83.11, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 09:30:00, 81.97, 77.49, 76.85, 89.96, 83.57, 77.67, 83.11, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 10:00:00, 81.98, 77.55, 76.85, 89.96, 83.57, 77.52, 82.96, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 10:30:00, 82.03, 77.58, 76.93, 90.04, 83.57, 77.36, 82.96, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 11:00:00, 82.05, 77.65, 76.93, 90.04, 83.57, 77.21, 82.96, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 11:30:00, 82.06, 77.69, 76.93, 90.04, 83.57, 77.05, 82.8, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 12:00:00, 82.1, 77.72, 77.07, 90.04, 83.57, 76.88, 82.8, 8.5, 8.5, 8.83, 8.83, 8.83, 9.17
2017-08-02 12:30:00, 82.12, 77.78, 77.07, 90.04, 83.57, 76.88, 82.8, 8.5, 8.5, 8.83, 8.83, 8.83, 9.17
2017-08-02 13:00:00, 82.12, 77.82, 77.07, 90.04, 83.57, 76.88, 82.8, 8.5, 8.5, 8.83, 8.83, 8.83, 9.17
2017-08-02 13:30:00, 82.13, 77.85, 76.99, 90.11, 83.57, 76.88, 82.8, 8.5, 8.5, 8.83, 8.83, 8.83, 9.17
2017-08-02 14:00:00, 82.15, 77.92, 77.07, 90.04, 83.57, 76.73, 82.8, 8.5, 8.5, 8.83, 8.83, 8.83, 9.17
2017-08-02 14:30:00, 82.14, 77.92, 77.07, 90.11, 83.47, 76.73, 82.8, 8.5, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 15:00:00, 82.17, 77.92, 77.07, 90.11, 83.57, 76.73, 82.65, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 15:30:00, 82.16, 77.95, 77.07, 90.04, 83.57, 76.73, 82.65, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 16:00:00, 82.16, 77.98, 77.07, 90.04, 83.57, 76.57, 82.65, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 16:30:00, 82.17, 78.02, 77.07, 90.04, 83.57, 76.57, 82.65, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 17:00:00, 82.15, 78.02, 77.07, 90.04, 83.47, 76.57, 82.5, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 17:30:00, 82.18, 78.05, 77.07, 90.04, 83.57, 76.57, 82.5, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 18:00:00, 82.18, 78.08, 77.13, 90.04, 83.47, 76.57, 82.5, 8.67, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 18:30:00, 82.22, 78.05, 77.21, 90.04, 83.57, 76.42, 82.5, 8.83, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 19:00:00, 82.19, 78.05, 77.13, 90.11, 83.47, 76.42, 82.35, 8.83, 8.67, 8.83, 8.83, 8.83, 9.17
2017-08-02 19:30:00, 82.21, 78.05, 77.21, 90.11, 83.47, 76.57, 82.35, 8.83, 8.67, 8.83, 8.83, 8.83, 9.17
