datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (300 mm)], m3 [S4 (400 mm)], m4 [S5 (500 mm)], m5 [S6 (600 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (300 mm)], t3 [T4 (400 mm)], t4 [T5 (500 mm)], t5 [T6 (600 mm)]
2017-08-01 00:00:00, 51.97, 62.55, 39.6, 59.92, 45.79, 61.6, 71.01, 14.75, 14.75, 14.69, 14.38, 14.38, 14.44
2017-08-01 01:00:00, 51.98, 62.54, 39.63, 59.92, 45.82, 61.6, 71.01, 14.81, 14.75, 14.69, 14.44, 14.38, 14.44
2017-08-01 02:00:00, 51.95, 62.51, 39.6, 59.92, 45.79, 61.6, 71.01, 14.88, 14.75, 14.75, 14.44, 14.44, 14.5
2017-08-01 03:00:00, 51.95, 62.47, 39.6, 59.92, 45.79, 61.6, 71.01, 14.88, 14.81, 14.75, 14.5, 14.44, 14.5
2017-08-01 04:00:00, 51.95, 62.47, 39.6, 59.92, 45.82, 61.63, 71.01, 14.94, 14.81, 14.81, 14.5, 14.44, 14.56
2017-08-01 05:00:00, 51.94, 62.44, 39.6, 59.92, 45.82, 61.65, 71.01, 14.94, 14.81, 14.81, 14.5, 14.5, 14.56
2017-08-01 06:00:00, 51.93, 62.41, 39.56, 59.92, 45.82, 61.63, 71.01, 14.94, 14.81, 14.81, 14.56, 14.5, 14.56
2017-08-01 07:00:00, 51.92, 62.37, 39.56, 59.92, 45.82, 61.6, 70.99, 14.94, 14.81, 14.81, 14.56, 14.5, 14.56
2017-08-01 08:00:00, 51.91, 62.34, 39.56, 59.92, 45.82, 61.6, 70.99, 14.94, 14.88, 14.88, 14.56, 14.56, 14.56
2017-08-01 09:00:00, 51.91, 62.33, 39.56, 59.92, 45.82, 61.6, 70.99, 14.94, 14.88, 14.88, 14.63, 14.56, 14.63
2017-08-01 10:00:00, 51.92, 62.31, 39.6, 59.95, 45.85, 61.67, 71.04, 14.94, 14.88, 14.88, 14.63, 14.56, 14.63
2017-08-01 11:00:00, 51.91, 62.31, 39.6, 59.92, 45.82, 61.65, 71.04, 15, 14.88, 14.88, 14.63, 14.63, 14.63
2017-08-01 12:00:00, 51.91, 62.29, 39.6, 59.95, 45.82, 61.65, 71.04, 15.06, 14.94, 14.88, 14.63, 14.63, 14.69
2017-08-01 13:00:00, 51.96, 62.31, 39.66, 59.99, 45.87, 61.74, 71.09, 15.31, 14.94, 14.94, 14.69, 14.69, 14.69
2017-08-01 14:00:00, 52, 62.33, 39.73, 60.04, 45.9, 61.79, 71.15, 15.56, 15, 14.94, 14.69, 14.63, 14.69
2017-08-01 15:00:00, 51.99, 62.31, 39.73, 60.04, 45.87, 61.76, 71.13, 15.69, 15.13, 15, 14.69, 14.69, 14.75
2017-08-01 16:00:00, 51.96, 62.26, 39.7, 60.02, 45.87, 61.74, 71.09, 15.69, 15.19, 15.06, 14.75, 14.69, 14.69
2017-08-01 17:00:00, 51.96, 62.24, 39.7, 60.02, 45.87, 61.72, 71.07, 15.63, 15.25, 15.13, 14.75, 14.69, 14.75
2017-08-01 18:00:00, 51.89, 62.16, 39.6, 59.97, 45.82, 61.63, 71.01, 15.56, 15.25, 15.13, 14.81, 14.75, 14.75
2017-08-01 19:00:00, 51.82, 62.08, 39.53, 59.9, 45.76, 61.56, 70.95, 15.38, 15.25, 15.19, 14.81, 14.75, 14.75
2017-08-01 20:00:00, 51.75, 62.03, 39.43, 59.85, 45.71, 61.51, 70.9, 15.25, 15.25, 15.19, 14.88, 14.81, 14.81
2017-08-01 21:00:00, 51.71, 61.95, 39.39, 59.81, 45.68, 61.46, 70.87, 15.06, 15.25, 15.25, 14.94, 14.81, 14.81
2017-08-01 22:00:00, 51.66, 61.9, 39.33, 59.78, 45.65, 61.44, 70.85, 14.88, 15.25, 15.25, 14.94, 14.88, 14.88
2017-08-01 23:00:00, 51.6, 61.83, 39.22, 59.73, 45.6, 61.42, 70.82, 14.69, 15.19, 15.25, 15, 14.88, 14.88
2017-08-02 00:00:00, 51.59, 61.79, 39.22, 59.73, 45.6, 61.42, 70.82, 14.56, 15.13, 15.19, 15, 14.88, 14.88
2017-08-02 01:00:00, 51.55, 61.75, 39.16, 59.71, 45.57, 61.42, 70.82, 14.44, 15.06, 15.19, 15, 14.88, 14.88
2017-08-02 02:00:00, 51.62, 61.75, 39.26, 59.81, 45.68, 61.51, 70.9, 14.31, 14.94, 15.13, 14.94, 14.94, 14.94
2017-08-02 03:00:00, 51.64, 61.75, 39.26, 59.83, 45.74, 61.53, 70.93, 14.38, 14.88, 15.13, 14.94, 14.94, 14.94
2017-08-02 04:00:00, 51.61, 61.72, 39.22, 59.81, 45.68, 61.51, 70.9, 14.38, 14.88, 15.06, 14.94, 14.94, 14.94
2017-08-02 05:00:00, 51.52, 61.65, 39.12, 59.71, 45.6, 61.44, 70.85, 14.31, 14.81, 15, 14.88, 15, 15
2017-08-02 06:00:00, 51.44, 61.57, 38.99, 59.64, 45.54, 61.42, 70.79, 14.19, 14.75, 15, 14.88, 15, 15
2017-08-02 07:00:00, 51.37, 61.52, 38.92, 59.57, 45.46, 61.3, 70.78, 13.94, 14.69, 14.94, 14.88, 14.94, 15
2017-08-02 08:00:00, 51.38, 61.47, 38.92, 59.59, 45.51, 61.42, 70.79, 13.75, 14.56, 14.88, 14.81, 14.94, 15
2017-08-02 09:00:00, 51.53, 61.56, 39.09, 59.78, 45.71, 61.53, 70.95, 13.75, 14.5, 14.81, 14.75, 14.94, 15
2017-08-02 10:00:00, 51.62, 61.61, 39.22, 59.85, 45.82, 61.67, 71.05, 14, 14.44, 14.75, 14.69, 14.94, 15
2017-08-02 11:00:00, 51.64, 61.64, 39.22, 59.9, 45.82, 61.72, 71.1, 14.31, 14.44, 14.69, 14.63, 14.88, 15
2017-08-02 12:00:00, 51.68, 61.67, 39.29, 59.92, 45.85, 61.79, 71.13, 14.56, 14.5, 14.69, 14.63, 14.88, 15
2017-08-02 13:00:00, 51.72, 61.72, 39.36, 59.95, 45.85, 61.81, 71.18, 14.88, 14.56, 14.69, 14.56, 14.88, 15
2017-08-02 14:00:00, 51.73, 61.74, 39.39, 59.95, 45.85, 61.83, 71.19, 15.19, 14.63, 14.69, 14.56, 14.81, 15
2017-08-02 15:00:00, 51.73, 61.75, 39.39, 59.95, 45.82, 61.81, 71.16, 15.38, 14.75, 14.75, 14.56, 14.81, 15
2017-08-02 16:00:00, 51.72, 61.74, 39.39, 59.95, 45.82, 61.74, 71.13, 15.44, 14.88, 14.81, 14.63, 14.81, 15
2017-08-02 17:00:00, 51.71, 61.7, 39.39, 59.92, 45.82, 61.69, 71.09, 15.38, 15, 14.88, 14.63, 14.81, 15
2017-08-02 18:00:00, 51.63, 61.64, 39.29, 59.85, 45.74, 61.6, 70.99, 15.31, 15.06, 14.94, 14.69, 14.81, 15
2017-08-02 19:00:00, 51.57, 61.59, 39.22, 59.81, 45.68, 61.53, 70.96, 15.25, 15.13, 15, 14.75, 14.81, 15
2017-08-02 20:00:00, 51.6, 61.57, 39.26, 59.85, 45.71, 61.56, 70.96, 15.13, 15.13, 15.06, 14.81, 14.81, 15
2017-08-02 21:00:00, 51.59, 61.56, 39.26, 59.85, 45.71, 61.53, 70.96, 15.13, 15.19, 15.13, 14.81, 14.88, 15
2017-08-02 22:00:00, 51.57, 61.54, 39.22, 59.83, 45.68, 61.53, 70.95, 15.13, 15.19, 15.19, 14.88, 14.88, 15
2017-08-02 23:00:00, 51.57, 61.52, 39.22, 59.81, 45.71, 61.51, 70.93, 15.06, 15.19, 15.19, 14.94, 14.94, 15
2017-08-03 00:00:00, 51.54, 61.47, 39.19, 59.81, 45.68, 61.51, 70.9, 15.06, 15.19, 15.25, 15, 14.94, 15
2017-08-03 01:00:00, 51.46, 61.43, 39.09, 59.73, 45.6, 61.44, 70.85, 14.94, 15.19, 15.25, 15, 15, 15.06
2017-08-03 02:00:00, 51.38, 61.33, 38.99, 59.66, 45.54, 61.4, 70.82, 14.63, 15.19, 15.25, 15, 15, 15.06
2017-08-03 03:00:00, 51.33, 61.28, 38.92, 59.62, 45.49, 61.37, 70.79, 14.44, 15.13, 15.25, 15.06, 15, 15.06
2017-08-03 04:00:00, 51.29, 61.21, 38.89, 59.59, 45.46, 61.3, 70.78, 14.19, 15, 15.19, 15.06, 15.06, 15.06
2017-08-03 05:00:00, 51.25, 61.16, 38.82, 59.57, 45.43, 61.35, 70.76, 14, 14.94, 15.13, 15.06, 15.06, 15.13
2017-08-03 06:00:00, 51.23, 61.11, 38.79, 59.57, 45.46, 61.35, 70.78, 13.81, 14.81, 15.13, 15, 15.13, 15.13
2017-08-03 07:00:00, 51.18, 61.07, 38.72, 59.52, 45.43, 61.33, 70.76, 13.75, 14.75, 15, 15, 15.06, 15.13
2017-08-03 08:00:00, 51.18, 61.05, 38.72, 59.52, 45.43, 61.35, 70.76, 13.63, 14.63, 15, 14.94, 15.06, 15.13
2017-08-03 09:00:00, 51.33, 61.11, 38.89, 59.71, 45.63, 61.51, 70.91, 13.69, 14.56, 14.88, 14.94, 15.06, 15.13
2017-08-03 10:00:00, 51.47, 61.21, 39.06, 59.85, 45.76, 61.67, 71.05, 13.88, 14.44, 14.81, 14.81, 15.06, 15.13
2017-08-03 11:00:00, 51.53, 61.28, 39.09, 59.92, 45.85, 61.79, 71.15, 14.19, 14.44, 14.75, 14.75, 15.06, 15.13
2017-08-03 12:00:00, 51.56, 61.33, 39.16, 59.92, 45.85, 61.81, 71.19, 14.56, 14.5, 14.75, 14.75, 15, 15.19
2017-08-03 13:00:00, 51.58, 61.36, 39.19, 59.92, 45.85, 61.83, 71.22, 14.88, 14.56, 14.75, 14.69, 15, 15.13
2017-08-03 14:00:00, 51.6, 61.39, 39.22, 59.92, 45.85, 61.86, 71.22, 15.19, 14.75, 14.75, 14.69, 14.94, 15.13
2017-08-03 15:00:00, 51.6, 61.43, 39.22, 59.95, 45.82, 61.83, 71.21, 15.5, 14.88, 14.81, 14.63, 14.94, 15.13
2017-08-03 16:00:00, 51.58, 61.41, 39.22, 59.9, 45.79, 61.72, 71.12, 15.63, 15, 14.88, 14.69, 14.94, 15.13
2017-08-03 17:00:00, 51.51, 61.34, 39.12, 59.83, 45.74, 61.6, 71.02, 15.44, 15.13, 15, 14.75, 14.94, 15.13
2017-08-03 18:00:00, 51.48, 61.31, 39.12, 59.81, 45.68, 61.56, 70.98, 15.31, 15.19, 15.06, 14.81, 14.94, 15.13
2017-08-03 19:00:00, 51.46, 61.28, 39.09, 59.81, 45.68, 61.53, 70.96, 15.25, 15.25, 15.13, 14.88, 15, 15.13
2017-08-03 20:00:00, 51.45, 61.25, 39.06, 59.81, 45.68, 61.51, 70.96, 15.19, 15.25, 15.19, 14.94, 15, 15.13
2017-08-03 21:00:00, 51.44, 61.23, 39.06, 59.78, 45.68, 61.51, 70.93, 15.13, 15.25, 15.25, 15, 15, 15.13
2017-08-03 22:00:00, 51.42, 61.2, 39.06, 59.78, 45.65, 61.51, 70.93, 15.06, 15.25, 15.31, 15, 15, 15.13
2017-08-03 23:00:00, 51.41, 61.18, 39.02, 59.78, 45.65, 61.51, 70.93, 15.06, 15.31, 15.31, 15.06, 15.06, 15.19
2017-08-04 00:00:00, 51.4, 61.16, 38.99, 59.78, 45.65, 61.51, 70.91, 15, 15.25, 15.31, 15.06, 15.06, 15.19
2017-08-04 01:00:00, 51.38, 61.13, 38.99, 59.76, 45.63, 61.51, 70.9, 14.94, 15.25, 15.31, 15.13, 15.13, 15.19
2017-08-04 02:00:00, 51.38, 61.11, 38.99, 59.76, 45.65, 61.49, 70.91, 14.94, 15.25, 15.31, 15.13, 15.13, 15.19
2017-08-04 03:00:00, 51.34, 61.08, 38.92, 59.73, 45.63, 61.51, 70.9, 14.88, 15.25, 15.31, 15.13, 15.13, 15.19
2017-08-04 04:00:00, 51.35, 61.08, 38.92, 59.73, 45.65, 61.49, 70.91, 14.88, 15.19, 15.31, 15.13, 15.19, 15.19
2017-08-04 05:00:00, 51.33, 61.07, 38.89, 59.73, 45.63, 61.49, 70.91, 14.81, 15.19, 15.25, 15.13, 15.19, 15.19
2017-08-04 06:00:00, 51.32, 61.05, 38.89, 59.71, 45.63, 61.49, 70.91, 14.81, 15.13, 15.25, 15.13, 15.19, 15.25
2017-08-04 07:00:00, 51.3, 61.03, 38.85, 59.71, 45.6, 61.51, 70.9, 14.75, 15.06, 15.25, 15.13, 15.19, 15.25
2017-08-04 08:00:00, 51.29, 61.02, 38.85, 59.71, 45.6, 61.49, 70.9, 14.69, 15.06, 15.19, 15.06, 15.19, 15.25
2017-08-04 09:00:00, 51.3, 61.02, 38.85, 59.71, 45.63, 61.51, 70.93, 14.63, 15, 15.19, 15.06, 15.19, 15.25
2017-08-04 10:00:00, 51.34, 61.03, 38.89, 59.76, 45.68, 61.56, 70.96, 14.63, 15, 15.19, 15.06, 15.19, 15.31
2017-08-04 11:00:00, 51.35, 61.03, 38.89, 59.78, 45.68, 61.58, 70.98, 14.69, 14.94, 15.13, 15, 15.19, 15.25
2017-08-04 12:00:00, 51.35, 61.03, 38.89, 59.78, 45.68, 61.58, 70.99, 14.69, 14.94, 15.13, 15, 15.19, 15.25
2017-08-04 13:00:00, 51.35, 61.03, 38.89, 59.81, 45.68, 61.6, 71.01, 14.69, 14.94, 15.06, 15, 15.19, 15.25
2017-08-04 14:00:00, 51.34, 61.02, 38.89, 59.78, 45.68, 61.58, 70.99, 14.75, 14.94, 15.06, 15, 15.19, 15.31
2017-08-04 15:00:00, 51.31, 61, 38.82, 59.73, 45.68, 61.53, 70.96, 14.75, 14.94, 15.06, 14.94, 15.13, 15.31
2017-08-04 16:00:00, 51.27, 61, 38.79, 59.71, 45.6, 61.51, 70.93, 14.69, 14.94, 15.06, 14.94, 15.19, 15.31
2017-08-04 17:00:00, 51.27, 61, 38.79, 59.71, 45.6, 61.51, 70.93, 14.69, 14.94, 15.06, 14.94, 15.19, 15.31
2017-08-04 18:00:00, 51.26, 60.98, 38.79, 59.69, 45.6, 61.49, 70.91, 14.69, 14.94, 15.06, 14.94, 15.13, 15.31
2017-08-04 19:00:00, 51.24, 60.97, 38.75, 59.69, 45.54, 61.49, 70.91, 14.69, 14.94, 15.06, 14.94, 15.13, 15.31
