datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (305 mm)], m3 [S4 (400 mm)], m4 [S5 (600 mm)], m5 [S6 (800 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (305 mm)], t3 [T4 (400 mm)], t4 [T5 (600 mm)], t5 [T6 (800 mm)]
2017-08-01 00:00:00, 64.43, 84.71, 84.52, 49.2, 39.29, -6.89, 74.65, 9.5, 9.67, 9.5, 9.17, 8.83, 8.83
2017-08-01 00:30:00, 64.44, 84.64, 84.52, 49.2, 39.39, -6.89, 74.76, 9.5, 9.67, 9.5, 9.17, 8.83, 8.83
2017-08-01 01:00:00, 64.43, 84.58, 84.47, 49.31, 39.39, -6.79, 74.76, 9.33, 9.67, 9.5, 9.17, 8.83, 8.83
2017-08-01 01:30:00, 64.49, 84.58, 84.47, 49.41, 39.49, -5.5, 74.65, 9.33, 9.67, 9.5, 9.17, 8.83, 8.83
2017-08-01 02:00:00, 64.42, 84.51, 84.47, 49.41, 39.29, -5.29, 74.65, 9.33, 9.67, 9.5, 9.17, 8.83, 8.83
2017-08-01 02:30:00, 64.43, 84.51, 84.4, 49.51, 39.29, -6.59, 74.65, 9.33, 9.5, 9.5, 9.17, 8.83, 8.83
2017-08-01 03:00:00, 64.41, 84.51, 84.34, 49.41, 39.39, -6.59, 74.65, 9.33, 9.5, 9.5, 9.17, 8.83, 8.83
2017-08-01 03:30:00, 64.45, 84.51, 84.4, 49.51, 39.39, -6.59, 74.65, 9.17, 9.5, 9.33, 9.17, 8.83, 8.83
2017-08-01 04:00:00, 64.4, 84.51, 84.29, 49.51, 39.29, -6.49, 74.65, 9.17, 9.5, 9.33, 9.17, 8.83, 8.83
2017-08-01 04:30:00, 64.38, 84.45, 84.29, 49.41, 39.39, -6.59, 74.65, 9.17, 9.5, 9.33, 9.17, 8.83, 8.83
2017-08-01 05:00:00, 64.42, 84.58, 84.29, 49.41, 39.39, -6.59, 74.65, 9.17, 9.5, 9.33, 9.17, 8.83, 8.83
2017-08-01 05:30:00, 64.46, 84.71, 84.23, 49.51, 39.39, -6.49, 74.65, 9.17, 9.5, 9.33, 9.17, 9.17, 8.83
2017-08-01 06:00:00, 64.44, 84.71, 84.16, 49.51, 39.39, -6.59, 74.54, 9.17, 9.5, 9.33, 9.17, 9.17, 8.83
2017-08-01 06:30:00, 64.44, 84.71, 84.16, 49.51, 39.39, -6.49, 74.65, 8.83, 9.33, 9.33, 9.17, 9.17, 8.83
2017-08-01 07:00:00, 64.44, 84.71, 84.16, 49.51, 39.39, -6.59, 74.65, 8.83, 9.33, 9.33, 9.17, 9.17, 8.83
2017-08-01 07:30:00, 64.44, 84.71, 84.16, 49.51, 39.39, -6.49, 74.65, 8.83, 9.33, 9.33, 9.17, 9.17, 9.17
2017-08-01 08:00:00, 64.41, 84.64, 84.11, 49.51, 39.39, -6.49, 74.54, 8.83, 9.33, 9.33, 9.17, 9.17, 9.17
2017-08-01 08:30:00, 64.43, 84.71, 84.11, 49.51, 39.39, -6.49, 74.54, 8.67, 9.33, 9.33, 9.17, 9.17, 9.17
2017-08-01 09:00:00, 64.35, 84.64, 84.05, 49.41, 39.29, -6.49, 74.65, 8.67, 9.33, 9.33, 9.17, 9.17, 9.17
2017-08-01 09:30:00, 64.37, 84.64, 84.05, 49.51, 39.29, -6.59, 74.65, 8.67, 9.33, 9.33, 9.17, 9.17, 9.17
2017-08-01 10:00:00, 64.38, 84.58, 83.92, 49.61, 39.39, -6.49, 74.65, 8.67, 9.17, 9.33, 9.17, 9.17, 9.17
2017-08-01 10:30:00, 64.45, 84.64, 83.92, 49.92, 39.29, -6.29, 74.65, 8.67, 9.17, 9.33, 9.17, 9.17, 9.17
2017-08-01 11:00:00, 64.36, 84.58, 83.87, 49.61, 39.39, -6.39, 74.54, 8.67, 9.17, 9.33, 9.17, 9.17, 9.17
2017-08-01 11:30:00, 64.33, 84.51, 83.92, 49.51, 39.39, -6.29, 74.54, 8.67, 9.17, 9.33, 9.17, 9.17, 9.17
2017-08-01 12:00:00, 64.33, 84.58, 83.92, 49.51, 39.29, -6.29, 74.54, 8.67, 9.17, 9.33, 9.17, 9.17, 9.17
2017-08-01 12:30:00, 64.31, 84.58, 83.87, 49.51, 39.29, -5.6, 74.65, 8.83, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 13:00:00, 64.35, 84.58, 83.81, 49.72, 39.29, -5.19, 74.65, 8.83, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 13:30:00, 64.32, 84.58, 83.81, 49.61, 39.29, -5.4, 74.54, 8.83, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 14:00:00, 64.41, 84.64, 83.81, 49.82, 39.39, -5.6, 74.54, 9.17, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 14:30:00, 64.39, 84.64, 83.69, 49.92, 39.29, -2.6, 74.65, 9.17, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 15:00:00, 64.36, 84.64, 83.69, 49.92, 39.19, -6.09, 74.54, 9.17, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 15:30:00, 64.93, 84.58, 83.69, 50.01, 41.42, -6.09, 74.54, 9.17, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 16:00:00, 64.68, 84.58, 83.63, 49.82, 40.7, -6.09, 74.54, 9.17, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 16:30:00, 65.03, 84.58, 83.51, 50.12, 41.93, -5.89, 74.54, 9.17, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 17:00:00, 64.97, 84.64, 83.51, 49.92, 41.82, -5.89, 74.54, 9.17, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 17:30:00, 64.58, 84.58, 83.51, 50.12, 40.11, -1.89, 74.54, 9.17, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 18:00:00, 65.19, 84.58, 83.45, 50.12, 42.64, -5.8, 74.54, 9.17, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 18:30:00, 64.8, 84.51, 83.45, 49.92, 41.32, -5.8, 74.54, 9.17, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 19:00:00, 64.77, 84.51, 83.45, 50.01, 41.12, -5.8, 74.54, 8.83, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 19:30:00, 64.51, 84.45, 83.39, 49.41, 40.81, -5.8, 74.54, 8.83, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 20:00:00, 64.62, 84.45, 83.39, 49.41, 41.22, -5.8, 74.54, 8.83, 9.33, 9.17, 9.17, 9.17, 9.17
2017-08-01 20:30:00, 64.76, 84.45, 83.33, 49.51, 41.73, -5.8, 74.65, 8.83, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 21:00:00, 64.87, 84.45, 83.28, 49.51, 42.24, -5.8, 74.54, 8.83, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 21:30:00, 64.83, 84.38, 83.21, 49.61, 42.13, -5.89, 74.65, 8.67, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 22:00:00, 64.91, 84.38, 83.21, 49.72, 42.33, -5.8, 74.76, 8.67, 9.17, 9.17, 9.17, 9.17, 9.17
2017-08-01 22:30:00, 64.67, 84.38, 83.15, 49.92, 41.22, -5.89, 74.65, 8.67, 9.17, 9.17, 9.17, 9.17, 9.17
