datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (300 mm)], m3 [S4 (400 mm)], m4 [S5 (500 mm)], m5 [S6 (600 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (300 mm)], t3 [T4 (400 mm)], t4 [T5 (500 mm)], t5 [T6 (600 mm)]
2017-08-01 00:00:08, 89.82, 84.84, 86.26, 91.75, 93.77, 92.48, 90.16, 13.2, 13.4, 12.6, 12.2, 11.4, 11.2
2017-08-01 00:30:08, 89.78, 84.79, 86.2, 91.71, 93.77, 92.43, 90.16, 13, 13.4, 12.6, 12.2, 11.6, 11.2
2017-08-01 01:00:08, 89.79, 84.79, 86.2, 91.71, 93.77, 92.48, 90.16, 12.6, 13.2, 12.6, 12.2, 11.6, 11.2
2017-08-01 01:30:08, 89.76, 84.73, 86.15, 91.66, 93.77, 92.48, 90.16, 12.6, 13.2, 12.6, 12.2, 11.6, 11.2
2017-08-01 02:00:08, 89.72, 84.68, 86.1, 91.62, 93.77, 92.43, 90.16, 12.4, 13, 12.6, 12.2, 11.6, 11.4
2017-08-01 02:30:08, 89.71, 84.68, 86.1, 91.62, 93.72, 92.43, 90.16, 12.4, 13, 12.6, 12.2, 11.6, 11.4
2017-08-01 03:00:08, 89.69, 84.58, 86.05, 91.62, 93.77, 92.43, 90.16, 12.4, 13, 12.6, 12.2, 11.6, 11.4
2017-08-01 03:30:08, 89.66, 84.47, 86.05, 91.62, 93.72, 92.43, 90.1, 12.4, 12.6, 12.6, 12.2, 11.6, 11.4
2017-08-01 04:00:08, 89.65, 84.41, 85.99, 91.62, 93.72, 92.48, 90.1, 12.2, 12.6, 12.6, 12.2, 11.6, 11.4
2017-08-01 04:30:08, 89.59, 84.36, 85.94, 91.58, 93.67, 92.38, 89.98, 12.2, 12.6, 12.4, 12.2, 11.6, 11.4
2017-08-01 05:00:08, 89.67, 84.79, 85.99, 91.58, 93.58, 92.43, 89.8, 12.2, 12.6, 12.4, 12.2, 11.6, 11.4
2017-08-01 05:30:08, 89.68, 84.84, 85.94, 91.53, 93.63, 92.48, 89.98, 12, 12.4, 12.4, 12.2, 12, 11.4
2017-08-01 06:00:08, 89.66, 84.68, 86.05, 91.49, 93.58, 92.48, 89.86, 12, 12.4, 12.4, 12.2, 12, 11.4
2017-08-01 06:30:08, 89.62, 84.63, 85.99, 91.49, 93.58, 92.43, 89.8, 12, 12.4, 12.4, 12.2, 12, 11.4
2017-08-01 07:00:08, 89.57, 84.52, 85.94, 91.44, 93.53, 92.43, 89.8, 11.6, 12.4, 12.4, 12.2, 12, 11.4
