datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (305 mm)], m3 [S4 (400 mm)], m4 [S5 (600 mm)], m5 [S6 (800 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (305 mm)], t3 [T4 (400 mm)], t4 [T5 (600 mm)], t5 [T6 (800 mm)]
2017-08-17 09:00:00, 104.68, 108.62, 100.68, 105, 104.43, 88.95, 83.6, 5.5, 6.67, 7, 7.17, 7.83, 7.67
2017-08-17 09:30:00, 104.66, 108.62, 100.63, 105, 104.38, 88.87, 83.44, 5.5, 6.67, 7, 7.17, 7.83, 7.67
2017-08-17 10:00:00, 104.62, 108.56, 100.59, 105, 104.33, 88.79, 83.44, 5.5, 6.67, 7, 7.17, 7.83, 7.67
2017-08-17 10:30:00, 104.6, 108.56, 100.54, 104.97, 104.33, 88.79, 83.44, 5.5, 6.67, 7, 7.17, 7.67, 7.67
2017-08-17 11:00:00, 104.56, 108.5, 100.5, 104.97, 104.28, 88.63, 83.36, 5.5, 6.33, 6.83, 7.17, 7.67, 7.67
2017-08-17 11:30:00, 104.54, 108.5, 100.45, 104.93, 104.28, 88.63, 83.36, 5.5, 6.33, 6.83, 7.17, 7.67, 7.67
2017-08-17 12:00:00, 104.53, 108.5, 100.45, 104.89, 104.28, 88.56, 83.27, 5.5, 6.33, 6.83, 7.17, 7.67, 7.67
2017-08-17 12:30:00, 104.52, 108.5, 100.41, 104.93, 104.23, 88.47, 83.27, 5.5, 6.33, 6.83, 7.17, 7.67, 7.67
2017-08-17 13:00:00, 104.51, 108.5, 100.41, 104.89, 104.23, 88.47, 83.19, 5.83, 6.33, 6.83, 7.17, 7.67, 7.67
2017-08-17 13:30:00, 104.5, 108.5, 100.41, 104.85, 104.23, 88.4, 83.19, 6, 6.33, 6.83, 7.17, 7.67, 7.67
2017-08-17 14:00:00, 104.47, 108.5, 100.36, 104.85, 104.18, 88.4, 83.19, 6, 6.33, 6.83, 7, 7.67, 7.67
2017-08-17 14:30:00, 104.47, 108.5, 100.36, 104.85, 104.18, 88.32, 83.1, 6.17, 6.67, 6.83, 7, 7.67, 7.67
2017-08-17 15:00:00, 104.47, 108.56, 100.32, 104.85, 104.13, 88.32, 83.02, 6.17, 6.67, 6.83, 7, 7.67, 7.67
2017-08-17 15:30:00, 104.46, 108.56, 100.27, 104.82, 104.18, 88.24, 83.02, 6.33, 6.67, 6.83, 7, 7.67, 7.5
2017-08-17 16:00:00, 104.47, 108.56, 100.32, 104.85, 104.13, 88.24, 82.94, 6.33, 6.67, 6.83, 7, 7.67, 7.5
2017-08-17 16:30:00, 104.46, 108.56, 100.32, 104.82, 104.13, 88.16, 82.94, 6.67, 6.83, 6.83, 7, 7.67, 7.5
2017-08-17 17:00:00, 104.43, 108.5, 100.27, 104.82, 104.13, 88.16, 82.85, 6.67, 6.83, 6.83, 7, 7.67, 7.5
2017-08-17 17:30:00, 104.43, 108.56, 100.27, 104.82, 104.09, 88.08, 82.85, 6.67, 6.83, 6.83, 7, 7.67, 7.5
2017-08-17 18:00:00, 104.4, 108.5, 100.27, 104.82, 104.03, 88, 82.78, 6.67, 6.83, 6.83, 7, 7.67, 7.5
2017-08-17 18:30:00, 104.38, 108.5, 100.23, 104.77, 104.03, 88, 82.78, 6.83, 6.83, 6.83, 7, 7.67, 7.5
2017-08-17 19:00:00, 104.37, 108.43, 100.23, 104.77, 104.03, 88, 82.78, 6.83, 7, 6.83, 7, 7.67, 7.5
2017-08-17 19:30:00, 104.33, 108.43, 100.18, 104.74, 103.98, 87.93, 82.7, 6.83, 7, 6.83, 7, 7.67, 7.5
2017-08-17 20:00:00, 104.32, 108.37, 100.18, 104.74, 103.98, 87.93, 82.7, 6.83, 7, 7, 7, 7.67, 7.5
2017-08-17 20:30:00, 104.32, 108.37, 100.18, 104.74, 103.98, 87.84, 82.7, 6.67, 7, 7, 7, 7.67, 7.5
2017-08-17 21:00:00, 104.28, 108.37, 100.09, 104.74, 103.93, 87.84, 82.61, 6.67, 7, 7, 7, 7.67, 7.5
2017-08-17 21:30:00, 104.24, 108.24, 100.09, 104.7, 103.93, 87.84, 82.61, 6.67, 7, 7, 7, 7.67, 7.5
2017-08-17 22:00:00, 104.24, 108.24, 100.09, 104.7, 103.93, 87.77, 82.53, 6.67, 7, 7, 7, 7.67, 7.5
2017-08-17 22:30:00, 104.2, 108.18, 100.05, 104.7, 103.89, 87.84, 82.61, 6.67, 7, 7, 7, 7.67, 7.5
2017-08-17 23:00:00, 104.16, 108.11, 100, 104.66, 103.89, 87.77, 82.53, 6.67, 7, 7, 7.17, 7.67, 7.5
2017-08-17 23:30:00, 104.16, 108.11, 99.95, 104.66, 103.93, 87.68, 82.53, 6.33, 7, 7, 7.17, 7.67, 7.5
2017-08-18 00:00:00, 104.14, 108.05, 99.95, 104.66, 103.89, 87.68, 82.44, 6.33, 7, 7, 7.17, 7.67, 7.5
2017-08-18 00:30:00, 104.11, 107.99, 99.95, 104.66, 103.84, 87.61, 82.44, 6.33, 7, 7, 7.17, 7.67, 7.5
2017-08-18 01:00:00, 104.08, 107.99, 99.87, 104.62, 103.84, 87.61, 82.36, 6.33, 7, 7, 7.17, 7.67, 7.5
2017-08-18 01:30:00, 104.06, 107.92, 99.87, 104.62, 103.84, 87.61, 82.36, 6.33, 7, 7, 7.17, 7.67, 7.5
2017-08-18 02:00:00, 104.05, 107.92, 99.87, 104.59, 103.84, 87.53, 82.36, 6.17, 7, 7, 7.17, 7.67, 7.5
2017-08-18 02:30:00, 104.03, 107.86, 99.82, 104.62, 103.84, 87.53, 82.36, 6.17, 7, 7, 7.17, 7.67, 7.5
2017-08-18 03:00:00, 104.01, 107.86, 99.82, 104.59, 103.79, 87.45, 82.28, 6.17, 7, 7, 7.17, 7.67, 7.5
2017-08-18 03:30:00, 103.99, 107.79, 99.77, 104.59, 103.79, 87.53, 82.28, 6.17, 6.83, 7, 7.17, 7.67, 7.5
2017-08-18 04:00:00, 103.95, 107.72, 99.68, 104.59, 103.79, 87.45, 82.28, 6, 6.83, 7, 7.17, 7.67, 7.5
2017-08-18 04:30:00, 103.94, 107.72, 99.68, 104.55, 103.79, 87.45, 82.28, 6, 6.83, 7, 7.17, 7.67, 7.5
2017-08-18 05:00:00, 103.92, 107.66, 99.68, 104.59, 103.74, 87.45, 82.19, 6, 6.83, 7, 7.17, 7.67, 7.5
2017-08-18 05:30:00, 103.88, 107.59, 99.64, 104.55, 103.74, 87.37, 82.19, 6, 6.83, 7, 7.17, 7.67, 7.5
2017-08-18 06:00:00, 103.84, 107.53, 99.59, 104.51, 103.74, 87.37, 82.19, 5.83, 6.83, 7, 7.17, 7.67, 7.5
2017-08-18 06:30:00, 103.83, 107.47, 99.59, 104.51, 103.74, 87.37, 82.12, 5.83, 6.83, 7, 7.17, 7.67, 7.5
