datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (305 mm)], m3 [S4 (400 mm)], m4 [S5 (600 mm)], m5 [S6 (800 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (305 mm)], t3 [T4 (400 mm)], t4 [T5 (600 mm)], t5 [T6 (800 mm)]
2017-08-01 00:00:00, 88.81, 88.89, 92.76, 83.87, 89.72, 89.78, 93.3, 9.67, 9.5, 8.83, 8.67, 8.5, 8.5
2017-08-01 00:30:00, 88.81, 88.86, 92.64, 83.87, 89.85, 89.71, 93.34, 9.67, 9.5, 8.83, 8.67, 8.5, 8.5
2017-08-01 01:00:00, 88.75, 88.82, 92.61, 83.87, 89.72, 89.61, 93.3, 9.5, 9.5, 8.83, 8.67, 8.5, 8.5
2017-08-01 01:30:00, 88.73, 88.78, 92.57, 83.84, 89.72, 89.36, 93.3, 9.5, 9.5, 8.83, 8.83, 8.5, 8.5
2017-08-01 02:00:00, 88.75, 88.78, 92.53, 83.84, 89.85, 89.36, 93.3, 9.5, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 02:30:00, 88.72, 88.75, 92.49, 83.8, 89.85, 89.36, 93.3, 9.5, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 03:00:00, 88.69, 88.71, 92.49, 83.84, 89.72, 89.33, 93.3, 9.33, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 03:30:00, 88.67, 88.67, 92.49, 83.8, 89.72, 89.36, 93.3, 9.33, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 04:00:00, 88.7, 88.64, 92.49, 83.8, 89.85, 89.33, 93.3, 9.33, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 04:30:00, 88.69, 88.64, 92.46, 83.8, 89.85, 89.29, 93.3, 9.33, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 05:00:00, 88.64, 88.64, 92.46, 83.76, 89.72, 89.29, 93.3, 9.17, 9.33, 8.83, 8.83, 8.67, 8.5
2017-08-01 05:30:00, 88.63, 88.6, 92.46, 83.76, 89.72, 89.33, 93.27, 9.17, 9.17, 8.83, 8.83, 8.67, 8.5
2017-08-01 06:00:00, 88.61, 88.53, 92.42, 83.76, 89.72, 89.4, 93.3, 9.17, 9.17, 8.83, 8.83, 8.67, 8.5
2017-08-01 06:30:00, 88.61, 88.53, 92.42, 83.76, 89.72, 89.54, 93.3, 9.17, 9.17, 8.83, 8.83, 8.67, 8.5
2017-08-01 07:00:00, 88.6, 88.49, 92.46, 83.72, 89.72, 89.43, 93.3, 9.17, 9.17, 8.83, 8.83, 8.67, 8.5
2017-08-01 07:30:00, 88.58, 88.45, 92.42, 83.72, 89.72, 89.4, 93.27, 8.83, 9.17, 8.83, 8.83, 8.67, 8.5
2017-08-01 08:00:00, 88.57, 88.45, 92.38, 83.72, 89.72, 89.5, 93.27, 8.83, 9.17, 8.83, 8.83, 8.67, 8.67
2017-08-01 08:30:00, 88.55, 88.42, 92.34, 83.72, 89.72, 89.5, 93.27, 8.83, 9.17, 8.83, 8.83, 8.67, 8.67
2017-08-01 09:00:00, 88.54, 88.38, 92.34, 83.72, 89.72, 89.64, 93.27, 8.83, 8.83, 8.83, 8.83, 8.67, 8.67
2017-08-01 09:30:00, 88.53, 88.42, 92.3, 83.68, 89.72, 89.64, 93.27, 8.67, 8.83, 8.83, 8.83, 8.67, 8.67
2017-08-01 10:00:00, 88.5, 88.34, 92.3, 83.64, 89.72, 89.61, 93.27, 8.67, 8.83, 8.83, 8.83, 8.67, 8.67
2017-08-01 10:30:00, 88.49, 88.34, 92.27, 83.64, 89.72, 89.57, 93.27, 8.67, 8.83, 8.83, 8.83, 8.67, 8.67
2017-08-01 11:00:00, 88.46, 88.34, 92.3, 83.64, 89.56, 89.47, 93.27, 8.67, 8.83, 8.67, 8.83, 8.83, 8.67
2017-08-01 11:30:00, 88.47, 88.31, 92.27, 83.6, 89.72, 89.47, 93.27, 8.67, 8.83, 8.67, 8.83, 8.83, 8.67
2017-08-01 12:00:00, 88.47, 88.27, 92.27, 83.64, 89.72, 89.47, 93.23, 8.67, 8.83, 8.67, 8.83, 8.83, 8.67
2017-08-01 12:30:00, 88.42, 88.27, 92.23, 83.6, 89.56, 89.61, 93.27, 8.67, 8.83, 8.67, 8.83, 8.83, 8.67
2017-08-01 13:00:00, 88.43, 88.27, 92.27, 83.6, 89.56, 89.57, 93.23, 8.67, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 13:30:00, 88.41, 88.27, 92.23, 83.57, 89.56, 89.5, 93.23, 8.67, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 14:00:00, 88.46, 88.31, 92.23, 83.57, 89.72, 89.5, 93.23, 8.67, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 14:30:00, 88.45, 88.27, 92.23, 83.57, 89.72, 89.54, 93.23, 8.67, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 15:00:00, 88.45, 88.27, 92.23, 83.57, 89.72, 89.5, 93.23, 8.67, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 15:30:00, 88.41, 88.27, 92.23, 83.57, 89.56, 89.54, 93.27, 8.83, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 16:00:00, 88.39, 88.24, 92.23, 83.53, 89.56, 89.54, 93.23, 8.83, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 16:30:00, 88.38, 88.24, 92.19, 83.53, 89.56, 89.33, 93.23, 8.83, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 17:00:00, 88.75, 88.24, 92.19, 83.53, 91.06, 89.64, 93.23, 8.83, 8.67, 8.67, 8.83, 8.83, 8.67
2017-08-01 17:30:00, 88.56, 88.24, 92.19, 83.53, 90.3, 89.61, 93.23, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 18:00:00, 88.42, 88.24, 92.19, 83.53, 89.72, 89.54, 93.23, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 18:30:00, 88.44, 88.2, 92.19, 83.53, 89.85, 89.57, 93.23, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 19:00:00, 88.44, 88.16, 92.27, 83.49, 89.85, 89.57, 93.23, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 19:30:00, 88.43, 88.13, 92.23, 83.49, 89.85, 89.64, 93.2, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 20:00:00, 88.43, 88.16, 92.23, 83.49, 89.85, 89.71, 93.2, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 20:30:00, 88.42, 88.13, 92.23, 83.45, 89.85, 89.75, 93.2, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 21:00:00, 88.41, 88.13, 92.19, 83.45, 89.85, 89.82, 93.2, 8.83, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 21:30:00, 88.39, 88.05, 92.19, 83.45, 89.85, 89.85, 93.2, 8.67, 8.83, 8.67, 8.67, 8.83, 8.67
2017-08-01 22:00:00, 88.39, 88.05, 92.19, 83.45, 89.85, 89.85, 93.2, 8.67, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-01 22:30:00, 88.34, 88.02, 92.15, 83.45, 89.72, 89.89, 93.2, 8.67, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-01 23:00:00, 88.34, 88.02, 92.15, 83.45, 89.72, 89.89, 93.23, 8.67, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-01 23:30:00, 88.34, 88.02, 92.19, 83.41, 89.72, 89.89, 93.2, 8.67, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 00:00:00, 88.33, 88.05, 92.15, 83.41, 89.72, 89.89, 93.2, 8.67, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 00:30:00, 88.28, 87.83, 92.15, 83.41, 89.72, 89.92, 93.2, 8.67, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 01:00:00, 88.26, 87.76, 92.15, 83.41, 89.72, 89.96, 93.2, 8.5, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 01:30:00, 88.28, 87.87, 92.12, 83.41, 89.72, 89.99, 93.17, 8.5, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 02:00:00, 88.3, 87.8, 92.12, 83.41, 89.85, 90.03, 93.17, 8.5, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 02:30:00, 88.24, 87.76, 92.12, 83.38, 89.72, 90.1, 93.17, 8.5, 8.67, 8.67, 8.67, 8.83, 8.67
2017-08-02 03:00:00, 88.23, 87.72, 92.12, 83.38, 89.72, 90.13, 93.17, 8.5, 8.67, 8.5, 8.67, 8.83, 8.67
2017-08-02 03:30:00, 88.24, 87.76, 92.12, 83.38, 89.72, 90.17, 93.17, 8.5, 8.67, 8.5, 8.67, 8.83, 8.67
2017-08-02 04:00:00, 88.21, 87.69, 92.08, 83.38, 89.72, 90.2, 93.17, 8.5, 8.5, 8.5, 8.67, 8.83, 8.67
2017-08-02 04:30:00, 88.19, 87.65, 92.03, 83.34, 89.72, 90.24, 93.17, 8.5, 8.5, 8.5, 8.67, 8.83, 8.67
2017-08-02 05:00:00, 88.2, 87.61, 92.08, 83.38, 89.72, 90.27, 93.17, 8.33, 8.5, 8.5, 8.67, 8.83, 8.67
2017-08-02 05:30:00, 88.19, 87.61, 92.08, 83.34, 89.72, 90.31, 93.17, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 06:00:00, 88.17, 87.58, 92.03, 83.34, 89.72, 90.06, 93.17, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 06:30:00, 88.15, 87.5, 92.03, 83.34, 89.72, 90.06, 93.14, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 07:00:00, 88.16, 87.58, 92.03, 83.3, 89.72, 90.1, 93.14, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 07:30:00, 88.12, 87.54, 92.03, 83.34, 89.56, 90.13, 93.1, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 08:00:00, 88.3, 88.2, 92, 83.3, 89.72, 90.2, 93.1, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 08:30:00, 88.43, 88.67, 92.03, 83.3, 89.72, 90.17, 93.1, 8.33, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 09:00:00, 88.4, 88.82, 91.96, 83.26, 89.56, 90.24, 93.14, 8, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 09:30:00, 88.51, 89.08, 91.96, 83.3, 89.72, 90.17, 93.1, 8, 8.5, 8.5, 8.67, 8.67, 8.67
2017-08-02 10:00:00, 88.51, 89.22, 91.96, 83.3, 89.56, 90.2, 93.1, 8, 8.33, 8.5, 8.67, 8.67, 8.67
2017-08-02 10:30:00, 88.52, 89.26, 91.96, 83.3, 89.56, 90.24, 93.1, 8.33, 8.33, 8.5, 8.67, 8.67, 8.67
2017-08-02 11:00:00, 88.52, 89.29, 91.92, 83.3, 89.56, 90.31, 93.1, 8.33, 8.33, 8.5, 8.67, 8.67, 8.67
2017-08-02 11:30:00, 88.55, 89.4, 91.96, 83.26, 89.56, 90.34, 93.1, 8.33, 8.33, 8.33, 8.67, 8.67, 8.67
2017-08-02 12:00:00, 88.55, 89.48, 91.92, 83.23, 89.56, 90.38, 93.1, 8.33, 8.33, 8.33, 8.67, 8.67, 8.67
2017-08-02 12:30:00, 88.57, 89.51, 91.96, 83.23, 89.56, 90.38, 93.07, 8.5, 8.33, 8.33, 8.67, 8.67, 8.67
2017-08-02 13:00:00, 88.57, 89.55, 91.96, 83.23, 89.56, 90.34, 93.1, 8.5, 8.33, 8.33, 8.67, 8.67, 8.67
2017-08-02 13:30:00, 88.58, 89.59, 91.96, 83.23, 89.56, 90.34, 93.1, 8.67, 8.5, 8.33, 8.67, 8.67, 8.67
2017-08-02 14:00:00, 88.59, 89.59, 92, 83.23, 89.56, 90.27, 93.07, 8.83, 8.5, 8.33, 8.67, 8.67, 8.67
2017-08-02 14:30:00, 88.56, 89.66, 91.96, 83.23, 89.41, 90.27, 93.07, 8.83, 8.5, 8.33, 8.67, 8.67, 8.67
2017-08-02 15:00:00, 88.61, 89.66, 92, 83.23, 89.56, 90.27, 93.1, 9.17, 8.5, 8.33, 8.67, 8.67, 8.67
