date, heat_units, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, original_unit_system
2017-08-01, 0, 0, 0, 0, 0, 0.41, 0.21, 4.1, 32.7, 400, -3.09, -14.71, 18.45, 19.95, Electronic Probe, 38.4, 32.7, 40, 23.04, 0.97, si
2017-08-02, 0, 0, 0, 0, 0, 0.14, 0.21, 2.33, -0.08, 400, -3.18, -15.14, 18.54, 19.86, Electronic Probe, 38.4, 32.63, 40, 23.04, 0.69, si
2017-08-03, 0, 0, 0, 0, 0, 0.16, 0.21, 2.56, -0.04, 400, -3.23, -15.38, 18.59, 19.81, Electronic Probe, 38.4, 32.58, 40, 23.04, 0.77, si
2017-08-04, 0, 0, 0, 0, 0, 0.06, 0.04, 0.99, -0.13, 400, -3.32, -30.00, 18.68, 19.72, Electronic Probe, 38.4, 32.45, 40, 23.04, 1.79, si
2017-08-05, 0, 0, 0, 0, 0, 0.05, 0.08, 0.92, 7.61, 400, 4.3, 30.00, 11.06, 27.34, Electronic Probe, 38.4, 40.06, 40, 23.04, 1.83, si
2017-08-06, 0, 0, 0, 0, 0, 0.2, 0.08, 1.98, -1.14, 400, 3.15, 30.00, 12.21, 26.19, Electronic Probe, 38.4, 38.93, 40, 23.04, 2.21, si
2017-08-07, 0, 0, 0, 0, 0, 0.17, 0.08, 1.72, -0.44, 400, 2.68, 30.00, 12.68, 25.72, Electronic Probe, 38.4, 38.49, 40, 23.04, 2.05, si
2017-08-08, 0, 0, 0, 0, 0, 0.23, 0.28, 2.32, -0.23, 400, 2.43, 8.53, 12.93, 25.47, Electronic Probe, 38.4, 38.26, 40, 23.04, 1.6, si
2017-08-09, 0, 0, 0, 0, 0, 0.4, 0.34, 4.01, -0.18, 400, 2.24, 6.69, 13.12, 25.28, Electronic Probe, 38.4, 38.08, 40, 23.04, 1.56, si
2017-08-10, 0, 0, 0, 0, 0, 0.44, 0.28, 4.4, -0.24, 400, 1.97, 6.95, 13.39, 25.01, Electronic Probe, 38.4, 37.84, 40, 23.04, 0.79, si
2017-08-11, 0, 0, 0, 0, 0, 0.27, 0.27, 2.67, -0.26, 400, 1.72, 6.31, 13.64, 24.76, Electronic Probe, 38.4, 37.58, 40, 23.04, 1.01, si
2017-08-12, 0, 0, 0, 0, 0, 0.17, 0.23, 1.67, -0.18, 400, 1.53, 6.73, 13.83, 24.57, Electronic Probe, 38.4, 37.4, 40, 23.04, 1.2, si
2017-08-13, 0, 0, 0, 0, 0, 0.15, 0.22, 1.53, -0.2, 400, 1.32, 6.14, 14.04, 24.36, Electronic Probe, 38.4, 37.2, 40, 23.04, 1.31, si
2017-08-14, 0, 0, 0, 0, 0, 0.35, 0.22, 3.54, -0.14, 400, 1.16, 5.27, 14.2, 24.2, Electronic Probe, 38.4, 37.06, 40, 23.04, 1.25, si
2017-08-15, 0, 0, 0, 0, 0, 0.29, 0.2, 2.92, -0.18, 400, 0.98, 5.03, 14.38, 24.02, Electronic Probe, 38.4, 36.88, 40, 23.04, 1.83, si
2017-08-16, 0, 0, 0, 0, 0, 0.08, 0.18, 0.84, -0.29, 400, 0.74, 4.23, 14.62, 23.78, Electronic Probe, 38.4, 36.59, 40, 23.04, 2.62, si
2017-08-17, 0, 0, 0, 0, 0, 0.08, 0.2, 0.79, 16.09, 400, 16.19, 30.00, -0.83, 39.23, Electronic Probe, 38.4, 52.67, 40, 23.04, 2.36, si
2017-08-18, 0, 0, 0, 0, 0, 0.2, 0.2, 1.99, -1.99, 400, 12.66, 30.00, 2.7, 35.7, Electronic Probe, 38.4, 50.69, 40, 23.04, 2.44, si
2017-08-19, 0, 0, 0, 0, 0, 0.37, 0.24, 3.66, -0.93, 400, 11.39, 30.00, 3.97, 34.43, Electronic Probe, 38.4, 49.76, 40, 23.04, 2.02, si
2017-08-20, 0, 0, 0, 0, 0, 0.64, 0.61, 6.35, -0.64, 400, 10.57, 17.33, 4.79, 33.61, Electronic Probe, 38.4, 49.12, 40, 23.04, 0.96, si
2017-08-21, 0, 0, 0, 0, 0, 0.41, 0.78, 4.14, -0.53, 400, 9.95, 12.68, 5.41, 32.99, Electronic Probe, 38.4, 48.6, 40, 23.04, 1.02, si
2017-08-22, 0, 0, 0, 0, 0, 0.16, 0.7, 1.63, 0.52, 400, 10.5, 15.00, 4.86, 33.54, Electronic Probe, 38.4, 49.12, 40, 23.04, 1.33, si
2017-08-23, 0, 0, 0, 0, 0, 0.35, 0.7, 3.53, 3.12, 400, 12.99, 18.56, 2.37, 36.03, Electronic Probe, 38.4, 52.24, 40, 23.04, 1.77, si
2017-08-24, 0, 0, 0, 0, 0, 0.11, 0.58, 1.05, 4.51, 400, 16.4, 28.03, -1.04, 39.44, Electronic Probe, 38.4, 56.75, 40, 23.04, 1.8, si
2017-08-25, 0, 0, 0, 0, 0, 0.14, 0.53, 1.42, -2.34, 400, 13.34, 25.17, 2.02, 36.38, Electronic Probe, 38.4, 54.41, 40, 23.04, 1.99, si
2017-08-26, 0, 0, 0, 0, 0, 0.25, 0.53, 2.49, -1.1, 400, 12.26, 23.13, 3.1, 35.3, Electronic Probe, 38.4, 53.31, 40, 23.04, 2.4, si
2017-08-27, 0, 0, 0, 0, 0, 0.24, 1.1, 2.35, -0.76, 400, 11.58, 10.53, 3.78, 34.62, Electronic Probe, 38.4, 52.54, 40, 23.04, 1.94, si
2017-08-28, 0, 0, 0, 0, 0, 0.66, 0.93, 6.61, -0.57, 400, 11.07, 11.90, 4.29, 34.11, Electronic Probe, 38.4, 51.97, 40, 23.04, 1.19, si
