n_neighbours | r_squared_statistic
30 | 0.5959810
29 | 0.6052205
28 | 0.6141998
27 | 0.6229024
26 | 0.6313128
25 | 0.6394163
24 | 0.6471986
23 | 0.6546462
22 | 0.6617452
21 | 0.6684811
20 | 0.6748377
19 | 0.6807961
18 | 0.6863332
17 | 0.6914198
16 | 0.6960195
15 | 0.7000874
14 | 0.7035738
13 | 0.7064328
12 | 0.7086439
11 | 0.7102481
10 | 0.7114027
9 | 0.7124577
8 | 0.7140701
7 | 0.7173933
6 | 0.7243193
5 | 0.7372545
4 | 0.7574142
3 | 0.7841172
